date,state,cases,deaths
2020-09-30,Alabama,154701,2540
2020-09-30,Alaska,8707,52
2020-09-30,Arizona,218511,5654
2020-09-30,Arkansas,83697,1369
2020-09-30,California,820872,15893
2020-09-30,Colorado,71090,2061
2020-09-30,Connecticut,57550,4508
2020-09-30,Delaware,20613,636
2020-09-30,District of Columbia,15326,627
2020-09-30,Florida,706508,14316
2020-09-30,Georgia,301485,6861
2020-09-30,Guam,3255,40
2020-09-30,Hawaii,12555,135
2020-09-30,Idaho,42442,469
2020-09-30,Illinois,296935,8935
2020-09-30,Indiana,122295,3632
2020-09-30,Iowa,88837,1346
2020-09-30,Kansas,60881,678
2020-09-30,Kentucky,72825,1208
2020-09-30,Louisiana,167458,5511
2020-09-30,Maine,5391,141
2020-09-30,Maryland,125217,3949
2020-09-30,Massachusetts,132116,9456
2020-09-30,Michigan,138074,7084
2020-09-30,Minnesota,99187,2089
2020-09-30,Mississippi,98190,2969
2020-09-30,Missouri,129763,2157
2020-09-30,Montana,13179,180
2020-09-30,Nebraska,45564,493
2020-09-30,Nevada,80084,1600
2020-09-30,New Hampshire,8266,439
2020-09-30,New Jersey,207062,16122
2020-09-30,New Mexico,29435,877
2020-09-30,New York,463369,32757
2020-09-30,North Carolina,211004,3565
2020-09-30,North Dakota,21849,250
2020-09-30,Northern Mariana Islands,70,2
2020-09-30,Ohio,153987,4804
2020-09-30,Oklahoma,87199,1031
2020-09-30,Oregon,33554,560
2020-09-30,Pennsylvania,164135,8216
2020-09-30,Puerto Rico,48755,661
2020-09-30,Rhode Island,24748,1114
2020-09-30,South Carolina,147942,3378
2020-09-30,South Dakota,22389,223
2020-09-30,Tennessee,193357,2429
2020-09-30,Texas,783699,16076
2020-09-30,Utah,73047,460
2020-09-30,Vermont,1752,58
2020-09-30,Virginia,148271,3208
2020-09-30,Virgin Islands,1318,20
2020-09-30,Washington,91518,2222
2020-09-30,West Virginia,15848,350
2020-09-30,Wisconsin,129172,1338
2020-09-30,Wyoming,5948,50
