date,state,cases,deaths
2020-10-01,Alabama,155744,2548
2020-10-01,Alaska,8838,53
2020-10-01,Arizona,219214,5674
2020-10-01,Arkansas,84821,1384
2020-10-01,California,824299,15989
2020-10-01,Colorado,71703,2064
2020-10-01,Connecticut,57742,4511
2020-10-01,Delaware,20787,636
2020-10-01,District of Columbia,15358,628
2020-10-01,Florida,709136,14443
2020-10-01,Georgia,303010,6903
2020-10-01,Guam,3519,50
2020-10-01,Hawaii,12660,138
2020-10-01,Idaho,42915,473
2020-10-01,Illinois,299111,8956
2020-10-01,Indiana,123459,3645
2020-10-01,Iowa,90019,1361
2020-10-01,Kansas,61029,678
2020-10-01,Kentucky,73569,1223
2020-10-01,Louisiana,168009,5519
2020-10-01,Maine,5431,142
2020-10-01,Maryland,125997,3949
2020-10-01,Massachusetts,132870,9480
2020-10-01,Michigan,139064,7103
2020-10-01,Minnesota,100253,2102
2020-10-01,Mississippi,98886,2979
2020-10-01,Missouri,131627,2176
2020-10-01,Montana,13626,181
2020-10-01,Nebraska,46185,497
2020-10-01,Nevada,80507,1603
2020-10-01,New Hampshire,8317,441
2020-10-01,New Jersey,207676,16127
2020-10-01,New Mexico,29661,882
2020-10-01,New York,464752,32768
2020-10-01,North Carolina,213218,3601
2020-10-01,North Dakota,22221,259
2020-10-01,Northern Mariana Islands,70,2
2020-10-01,Ohio,155314,4817
2020-10-01,Oklahoma,88369,1035
2020-10-01,Oregon,33865,561
2020-10-01,Pennsylvania,165078,8234
2020-10-01,Puerto Rico,49067,665
2020-10-01,Rhode Island,24914,1117
2020-10-01,South Carolina,148323,3400
2020-10-01,South Dakota,23136,236
2020-10-01,Tennessee,194601,2473
2020-10-01,Texas,787578,16191
2020-10-01,Utah,74050,460
2020-10-01,Vermont,1755,58
2020-10-01,Virginia,148721,3228
2020-10-01,Virgin Islands,1323,20
2020-10-01,Washington,92142,2227
2020-10-01,West Virginia,16024,354
2020-10-01,Wisconsin,132176,1358
2020-10-01,Wyoming,6083,53
