date,state,cases,deaths
2020-10-02,Alabama,155744,2548
2020-10-02,Alaska,8838,53
2020-10-02,Arizona,219214,5674
2020-10-02,Arkansas,84821,1384
2020-10-02,California,824306,15989
2020-10-02,Colorado,71723,2064
2020-10-02,Connecticut,57742,4511
2020-10-02,Delaware,20787,636
2020-10-02,District of Columbia,15358,628
2020-10-02,Florida,709136,14443
2020-10-02,Georgia,303010,6903
2020-10-02,Guam,3519,50
2020-10-02,Hawaii,12660,138
2020-10-02,Idaho,42915,473
2020-10-02,Illinois,299111,8956
2020-10-02,Indiana,123459,3645
2020-10-02,Iowa,90428,1366
2020-10-02,Kansas,61040,678
2020-10-02,Kentucky,73619,1225
2020-10-02,Louisiana,168009,5519
2020-10-02,Maine,5431,142
2020-10-02,Maryland,125997,3949
2020-10-02,Massachusetts,132870,9480
2020-10-02,Michigan,139064,7103
2020-10-02,Minnesota,100253,2102
2020-10-02,Mississippi,98886,2979
2020-10-02,Missouri,131778,2184
2020-10-02,Montana,13626,181
2020-10-02,Nebraska,46185,497
2020-10-02,Nevada,80507,1603
2020-10-02,New Hampshire,8317,441
2020-10-02,New Jersey,207676,16127
2020-10-02,New Mexico,29661,882
2020-10-02,New York,464752,32768
2020-10-02,North Carolina,213218,3601
2020-10-02,North Dakota,22221,259
2020-10-02,Northern Mariana Islands,70,2
2020-10-02,Ohio,155314,4817
2020-10-02,Oklahoma,88369,1035
2020-10-02,Oregon,33865,561
2020-10-02,Pennsylvania,165078,8234
2020-10-02,Puerto Rico,49067,665
2020-10-02,Rhode Island,24914,1117
2020-10-02,South Carolina,148323,3400
2020-10-02,South Dakota,23136,236
2020-10-02,Tennessee,194601,2473
2020-10-02,Texas,788066,16220
2020-10-02,Utah,74093,460
2020-10-02,Vermont,1755,58
2020-10-02,Virginia,148721,3228
2020-10-02,Virgin Islands,1326,20
2020-10-02,Washington,92166,2227
2020-10-02,West Virginia,16024,354
2020-10-02,Wisconsin,132176,1358
2020-10-02,Wyoming,6083,53
