date,state,cases,deaths
2020-10-04,Alabama,158380,2558
2020-10-04,Alaska,9111,54
2020-10-04,Arizona,220403,5705
2020-10-04,Arkansas,86525,1407
2020-10-04,California,831447,16122
2020-10-04,Colorado,72929,2071
2020-10-04,Connecticut,58297,4513
2020-10-04,Delaware,21125,645
2020-10-04,District of Columbia,15473,629
2020-10-04,Florida,714583,14627
2020-10-04,Georgia,305941,6972
2020-10-04,Guam,3586,50
2020-10-04,Hawaii,12887,152
2020-10-04,Idaho,43702,480
2020-10-04,Illinois,303807,9033
2020-10-04,Indiana,126414,3669
2020-10-04,Iowa,92301,1381
2020-10-04,Kansas,62400,698
2020-10-04,Kentucky,75576,1239
2020-10-04,Louisiana,168826,5545
2020-10-04,Maine,5486,142
2020-10-04,Maryland,127194,3957
2020-10-04,Massachusetts,134303,9507
2020-10-04,Michigan,141236,7125
2020-10-04,Minnesota,102840,2126
2020-10-04,Mississippi,100167,3011
2020-10-04,Missouri,134826,2220
2020-10-04,Montana,14490,186
2020-10-04,Nebraska,47403,503
2020-10-04,Nevada,81829,1623
2020-10-04,New Hampshire,8597,442
2020-10-04,New Jersey,209363,16135
2020-10-04,New Mexico,30296,890
2020-10-04,New York,468081,32794
2020-10-04,North Carolina,217049,3647
2020-10-04,North Dakota,23137,274
2020-10-04,Northern Mariana Islands,70,2
2020-10-04,Ohio,157966,4925
2020-10-04,Oklahoma,90748,1051
2020-10-04,Oregon,34512,572
2020-10-04,Pennsylvania,166270,8271
2020-10-04,Puerto Rico,50375,681
2020-10-04,Rhode Island,25076,1118
2020-10-04,South Carolina,150891,3442
2020-10-04,South Dakota,23986,248
2020-10-04,Tennessee,196870,2534
2020-10-04,Texas,798925,16440
2020-10-04,Utah,76231,476
2020-10-04,Vermont,1778,58
2020-10-04,Virginia,150803,3270
2020-10-04,Virgin Islands,1327,20
2020-10-04,Washington,93160,2238
2020-10-04,West Virginia,16468,357
2020-10-04,Wisconsin,138018,1383
2020-10-04,Wyoming,6365,53
