date,state,cases,deaths
2020-10-05,Alabama,159713,2559
2020-10-05,Alaska,9511,54
2020-10-05,Arizona,221091,5707
2020-10-05,Arkansas,87430,1447
2020-10-05,California,837624,16177
2020-10-05,Colorado,73967,2085
2020-10-05,Connecticut,59120,4517
2020-10-05,Delaware,21363,645
2020-10-05,District of Columbia,15547,631
2020-10-05,Florida,717866,14711
2020-10-05,Georgia,307519,7028
2020-10-05,Guam,3586,50
2020-10-05,Hawaii,13007,156
2020-10-05,Idaho,44832,487
2020-10-05,Illinois,307343,9066
2020-10-05,Indiana,128285,3681
2020-10-05,Iowa,92996,1392
2020-10-05,Kansas,63681,706
2020-10-05,Kentucky,76745,1247
2020-10-05,Louisiana,169937,5586
2020-10-05,Maine,5545,142
2020-10-05,Maryland,128277,3961
2020-10-05,Massachusetts,135462,9530
2020-10-05,Michigan,142757,7141
2020-10-05,Minnesota,104852,2136
2020-10-05,Mississippi,100703,3013
2020-10-05,Missouri,137012,2225
2020-10-05,Montana,15127,190
2020-10-05,Nebraska,47807,508
2020-10-05,Nevada,82544,1624
2020-10-05,New Hampshire,8645,443
2020-10-05,New Jersey,210500,16138
2020-10-05,New Mexico,30477,892
2020-10-05,New York,470244,32827
2020-10-05,North Carolina,220045,3656
2020-10-05,North Dakota,23865,280
2020-10-05,Northern Mariana Islands,75,2
2020-10-05,Ohio,159964,4931
2020-10-05,Oklahoma,91982,1055
2020-10-05,Oregon,35056,574
2020-10-05,Pennsylvania,169126,8300
2020-10-05,Puerto Rico,51305,695
2020-10-05,Rhode Island,25419,1121
2020-10-05,South Carolina,152159,3456
2020-10-05,South Dakota,24598,248
2020-10-05,Tennessee,200603,2570
2020-10-05,Texas,801368,16487
2020-10-05,Utah,78730,483
2020-10-05,Vermont,1817,58
2020-10-05,Virginia,152557,3276
2020-10-05,Virgin Islands,1327,20
2020-10-05,Washington,94160,2253
2020-10-05,West Virginia,16742,361
2020-10-05,Wisconsin,141780,1393
2020-10-05,Wyoming,6629,53
