date,state,cases,deaths
2020-10-06,Alabama,159713,2559
2020-10-06,Alaska,9511,54
2020-10-06,Arizona,221091,5707
2020-10-06,Arkansas,87430,1447
2020-10-06,California,837720,16179
2020-10-06,Colorado,74029,2085
2020-10-06,Connecticut,59120,4517
2020-10-06,Delaware,21363,645
2020-10-06,District of Columbia,15547,631
2020-10-06,Florida,717866,14711
2020-10-06,Georgia,307519,7028
2020-10-06,Guam,3586,50
2020-10-06,Hawaii,13007,156
2020-10-06,Idaho,44832,487
2020-10-06,Illinois,307428,9071
2020-10-06,Indiana,128285,3681
2020-10-06,Iowa,93260,1398
2020-10-06,Kansas,63761,706
2020-10-06,Kentucky,76787,1248
2020-10-06,Louisiana,169937,5586
2020-10-06,Maine,5545,142
2020-10-06,Maryland,128277,3961
2020-10-06,Massachusetts,135462,9530
2020-10-06,Michigan,142757,7141
2020-10-06,Minnesota,104852,2136
2020-10-06,Mississippi,100703,3013
2020-10-06,Missouri,137297,2229
2020-10-06,Montana,15127,190
2020-10-06,Nebraska,48259,509
2020-10-06,Nevada,82544,1624
2020-10-06,New Hampshire,8680,444
2020-10-06,New Jersey,210500,16138
2020-10-06,New Mexico,30632,894
2020-10-06,New York,470244,32827
2020-10-06,North Carolina,220045,3656
2020-10-06,North Dakota,23865,280
2020-10-06,Northern Mariana Islands,75,2
2020-10-06,Ohio,159964,4931
2020-10-06,Oklahoma,91982,1055
2020-10-06,Oregon,35056,574
2020-10-06,Pennsylvania,169126,8300
2020-10-06,Puerto Rico,51305,695
2020-10-06,Rhode Island,25419,1121
2020-10-06,South Carolina,152159,3456
2020-10-06,South Dakota,24598,248
2020-10-06,Tennessee,200603,2570
2020-10-06,Texas,806277,16519
2020-10-06,Utah,78733,483
2020-10-06,Vermont,1817,58
2020-10-06,Virginia,152557,3276
2020-10-06,Virgin Islands,1322,20
2020-10-06,Washington,94202,2253
2020-10-06,West Virginia,16742,361
2020-10-06,Wisconsin,141780,1393
2020-10-06,Wyoming,6629,53
