date,state,cases,deaths
2020-09-26,Alabama,150658,2491
2020-09-26,Alaska,8244,48
2020-09-26,Arizona,216826,5623
2020-09-26,Arkansas,80755,1285
2020-09-26,California,809142,15586
2020-09-26,Colorado,68973,2047
2020-09-26,Connecticut,56587,4501
2020-09-26,Delaware,20156,633
2020-09-26,District of Columbia,15215,624
2020-09-26,Florida,698674,14021
2020-09-26,Georgia,297553,6758
2020-09-26,Guam,3255,40
2020-09-26,Hawaii,12166,130
2020-09-26,Idaho,40411,460
2020-09-26,Illinois,289683,8847
2020-09-26,Indiana,118819,3577
2020-09-26,Iowa,85586,1312
2020-09-26,Kansas,57820,634
2020-09-26,Kentucky,70038,1185
2020-09-26,Louisiana,165152,5444
2020-09-26,Maine,5260,140
2020-09-26,Maryland,123328,3925
2020-09-26,Massachusetts,130050,9391
2020-09-26,Michigan,134372,7044
2020-09-26,Minnesota,95711,2056
2020-09-26,Mississippi,96677,2911
2020-09-26,Missouri,124570,2113
2020-09-26,Montana,11943,171
2020-09-26,Nebraska,43596,484
2020-09-26,Nevada,78464,1583
2020-09-26,New Hampshire,8121,439
2020-09-26,New Jersey,204641,16103
2020-09-26,New Mexico,28487,865
2020-09-26,New York,459472,32713
2020-09-26,North Carolina,206241,3458
2020-09-26,North Dakota,20383,230
2020-09-26,Northern Mariana Islands,69,2
2020-09-26,Ohio,150009,4740
2020-09-26,Oklahoma,83510,1004
2020-09-26,Oregon,32581,549
2020-09-26,Pennsylvania,159937,8177
2020-09-26,Puerto Rico,45413,642
2020-09-26,Rhode Island,24181,1107
2020-09-26,South Carolina,145273,3323
2020-09-26,South Dakota,21133,218
2020-09-26,Tennessee,188205,2347
2020-09-26,Texas,764642,15792
2020-09-26,Utah,69547,448
2020-09-26,Vermont,1739,58
2020-09-26,Virginia,145408,3144
2020-09-26,Virgin Islands,1317,19
2020-09-26,Washington,89514,2196
2020-09-26,West Virginia,15158,332
2020-09-26,Wisconsin,120249,1291
2020-09-26,Wyoming,5465,50
